months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,bind_year,bind_month,bind_quarter,bind_day_of_week,incident_year,incident_month,incident_quarter,incident_day_of_week,policy_duration_days,is_weekend_incident,is_night_incident,deductable_premium_ratio,umbrella_limit_ratio,capital_net,capital_total,has_capital_gains,has_capital_loss,claim_ratio_injury,claim_ratio_property,claim_ratio_vehicle,claim_consistency,age_group,is_senior,vehicle_age,vehicle_age_sq,total_injuries_and_damage,has_bodily_injuries,has_witnesses,witness_ratio,report_completeness,authorities_contacted_binary,police_report_available_binary,property_damage_binary,policy_csl_encoded,incident_severity_encoded,is_high_risk_state,collision_type_is_collision,is_high_risk_occupation,education_level_encoded,outlier_count,age_is_outlier,policy_annual_premium_is_outlier,total_claim_amount_is_outlier,injury_claim_is_outlier,property_claim_is_outlier,vehicle_claim_is_outlier
65,27,1000,1164.97,0,43000,-42500,17,1,1,2,42840,3570,7140,32130,2004,0,2001,9,3,5,2015,1,1,5,4858,1,0,0.8576549996998207,0.0,85500,500,1,0,0.0833313881562055,0.166662776312411,0.7499824934058495,0.9999766578744661,25-35,0,20,400,2,1,1,1.0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
411,56,1000,1595.28,0,0,0,23,3,0,0,38610,3510,3510,31590,2007,0,1992,7,3,3,2015,1,1,1,8195,0,1,0.6264565113889794,0.0,0,0,0,0,0.09090673642226309,0.09090673642226309,0.8181606278003678,0.9999741006448939,55-65,0,17,289,3,0,0,0.0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0
8,35,2000,1266.92,0,0,0,16,3,1,3,71500,16500,11000,44000,2006,1,2013,12,4,3,2015,1,1,4,400,0,0,1.5773865859044733,0.0,0,0,0,0,0.2307660032726815,0.15384400218178768,0.6153760087271507,0.9999860141816198,25-35,0,18,324,4,1,1,0.75,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0
274,46,1000,1372.18,0,0,0,22,3,1,3,90600,15100,15100,60400,2009,0,1997,2,1,0,2015,1,1,1,6553,0,1,0.7282366477810629,0.0,0,0,0,0,0.16666482709903865,0.16666482709903865,0.6666593083961546,0.9999889625942319,45-55,0,15,225,4,1,1,0.75,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0
473,58,2000,1131.4,0,55700,0,12,4,0,0,63120,10520,10520,42080,1999,1,1992,10,4,0,2015,1,1,3,8137,0,0,1.7661603673613562,0.0,55700,55700,1,0,0.1666640262353258,0.1666640262353258,0.6666561049413032,0.9999841574119548,55-65,0,25,625,4,0,0,0.0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
178,38,500,1381.14,0,0,0,10,3,0,3,57200,5200,10400,41600,2011,0,2014,11,4,3,2015,2,1,6,101,1,0,0.3617578537630052,0.0,0,0,0,0,0.09090750161710459,0.18181500323420918,0.7272600129368367,0.9999825177881505,35-45,0,13,169,3,0,1,0.75,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
256,43,500,1203.17,0,56700,-65600,11,1,0,0,63250,11500,5750,46000,1997,0,2014,12,4,5,2015,2,1,4,55,0,0,0.41522376408646616,0.0,122300,-8900,1,0,0.1818153072678693,0.09090765363393465,0.7272612290714772,0.9999841899732811,35-45,0,27,729,1,0,0,0.0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
313,50,2000,1255.62,0,0,0,18,3,2,1,69000,13800,6900,48300,1995,1,2004,6,2,2,2015,2,1,0,3869,0,0,1.5915710397733605,0.0,0,0,0,0,0.19999710149128275,0.09999855074564137,0.6999898552194895,0.9999855074564137,45-55,0,29,841,5,1,1,0.25,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0
22,26,1000,1276.57,0,71500,0,3,1,1,2,78900,15780,7890,55230,1995,0,2007,8,3,5,2015,1,1,1,2705,0,1,0.7827359753281621,0.0,71500,71500,1,0,0.19999746517788114,0.09999873258894057,0.699991128122584,0.9999873258894058,25-35,0,29,841,2,1,1,1.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
396,57,500,1351.72,0,0,-49400,3,1,1,3,2640,480,480,1680,2000,0,1996,10,4,1,2015,2,1,3,6687,0,1,0.36962564314861907,0.0,49400,-49400,0,0,0.1817493373722075,0.1817493373722075,0.6361226808027263,0.9996213555471413,55-65,0,24,576,2,1,1,1.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
328,46,500,1314.6,0,24800,0,0,1,2,3,70290,12780,6390,51120,1998,1,1996,6,2,2,2015,2,1,0,6823,0,1,0.38005472788081485,0.0,24800,24800,1,0,0.181815595168656,0.090907797584328,0.727262380674624,0.9999857734276081,45-55,0,26,676,3,1,1,1.5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
12,24,1000,1143.95,0,51400,0,13,3,2,1,53370,5930,5930,41510,2011,0,1994,11,4,4,2015,2,1,2,7383,0,0,0.873400585178392,0.0,51400,51400,1,0,0.11110902924809353,0.11110902924809353,0.7777632047366547,0.9999812632328418,18-25,0,13,169,5,1,1,0.25,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
267,43,500,1300.68,0,49000,0,0,1,1,3,1920,480,0,1440,2011,0,2002,2,1,6,2015,1,1,1,4734,0,1,0.38411898469669964,0.0,49000,49000,1,0,0.24986985944820406,0.0,0.7496095783446122,0.9994794377928162,35-45,0,13,169,2,1,1,1.5,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
453,60,500,1298.91,0,52600,-38800,0,1,0,0,70000,14000,7000,49000,2015,1,2003,3,1,1,2015,1,1,1,4312,0,1,0.38464201367787,0.0,91400,13800,1,0,0.1999971428979586,0.0999985714489793,0.6999900001428551,0.999985714489793,55-65,0,9,81,1,0,0,0.0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
281,43,1000,1515.18,0,0,0,21,3,1,0,60190,9260,9260,41670,1999,0,1993,6,2,2,2015,1,1,4,7877,0,0,0.659552295901542,0.0,0,0,0,0,0.15384359788008173,0.15384359788008173,0.6922961904603678,0.9999833862205313,35-45,0,25,625,4,1,0,0.0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0
107,31,500,1239.22,0,43400,-91200,12,1,0,1,89700,13800,13800,62100,2009,1,2011,8,3,2,2015,1,1,4,1262,0,0,0.4031542790795181,0.0,134600,-47800,1,0,0.15384443874650228,0.15384443874650228,0.6922999743592602,0.9999888518522647,25-35,0,15,225,1,0,1,0.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
210,37,500,1467.76,0,38700,-33100,8,1,1,3,63300,6330,6330,50640,2000,0,2012,7,3,1,2015,2,1,6,957,1,0,0.34042321413981863,0.0,71800,5600,1,0,0.09999842024612565,0.09999842024612565,0.7999873619690052,0.9999842024612565,35-45,0,24,576,2,1,1,1.5,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0
179,32,2000,1246.68,0,0,0,10,1,0,1,53100,5900,5900,41300,2006,0,1996,12,4,6,2015,1,1,2,6618,0,0,1.6029751218261092,0.0,0,0,0,0,0.11110901866254873,0.11110901866254873,0.7777631306378411,0.9999811679629386,25-35,0,18,324,1,0,1,0.5,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
147,37,2000,1375.29,0,0,0,11,3,0,1,56160,6240,6240,43680,2015,1,2013,4,2,5,2015,1,1,5,651,1,0,1.4531821055155527,0.0,0,0,0,0,0.11110913267213902,0.11110913267213902,0.7777639287049732,0.9999821940492513,35-45,0,9,81,3,0,1,0.25,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
192,35,1000,1245.89,0,0,-40300,19,1,0,0,76600,15320,7660,53620,2000,0,1997,3,1,0,2015,1,1,3,6506,0,0,0.8019953644667933,0.0,40300,-40300,0,0,0.19999738906802783,0.09999869453401392,0.6999908617380974,0.9999869453401392,25-35,0,24,576,1,0,0,0.0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0
478,63,1000,1292.3,0,47600,0,5,1,1,3,4700,940,470,3290,2007,1,2009,6,2,0,2015,2,1,5,2063,1,1,0.7732158045310447,0.0,47600,47600,1,0,0.1999574558604552,0.0999787279302276,0.6998510955115933,0.9997872793022761,55-65,0,17,289,2,1,1,1.5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
232,44,2000,1181.64,0,25800,0,22,1,1,1,55400,5540,11080,38780,2002,1,1994,10,4,0,2015,2,1,6,7433,1,1,1.6911317053372115,0.0,25800,25800,1,0,0.09999819497842999,0.19999638995685998,0.6999873648490099,0.9999819497842999,35-45,0,22,484,2,1,1,0.5,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0
56,42,500,1339.39,0,0,0,13,1,1,2,61490,11180,11180,39130,1998,0,1996,7,3,6,2015,2,1,2,6807,0,0,0.3730257611590656,0.0,0,0,0,0,0.1818152249922753,0.1818152249922753,0.6363532874729635,0.9999837374575141,35-45,0,26,676,2,1,1,1.0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
209,39,500,1264.99,0,67800,0,22,1,1,1,37800,8400,4200,25200,1995,0,1996,12,4,4,2015,1,1,3,6600,0,1,0.3949478273920015,0.0,67800,67800,1,0,0.22221634348297664,0.11110817174148832,0.6666490304489299,0.9999735456733949,35-45,0,29,841,2,1,1,0.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
140,35,1000,1520.78,0,0,-42900,5,1,0,2,2860,520,260,2080,1997,1,2008,3,1,4,2015,1,1,2,2497,0,1,0.6571252086372538,0.0,42900,-42900,0,0,0.18175463124781546,0.09087731562390773,0.7270185249912618,0.999650471862985,25-35,0,27,729,1,0,1,1.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
144,36,2000,1255.68,0,23600,-15600,7,1,0,0,7400,740,1480,5180,2014,0,1993,10,4,6,2015,2,1,2,7780,0,0,1.591495050450393,0.0,39200,8000,1,0,0.09998648831239022,0.19997297662478045,0.6999054181867316,0.9998648831239022,35-45,0,10,100,1,0,0,0.0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0
230,39,1000,904.7,0,68600,-22300,0,1,1,3,74200,14840,14840,44520,2002,1,1999,11,4,0,2015,2,1,1,5559,0,1,1.1041183614883514,0.0,90900,46300,1,0,0.19999730461853613,0.19999730461853613,0.5999919138556085,0.9999865230926807,35-45,0,22,484,2,1,1,1.5,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
158,33,1000,1744.64,0,0,0,4,3,0,1,36400,3640,7280,25480,1998,0,2013,12,4,5,2015,2,1,5,413,1,1,0.5728558007378383,0.0,0,0,0,0,0.09999725282272465,0.1999945056454493,0.6999807697590725,0.9999725282272465,25-35,0,26,676,3,0,1,0.25,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
149,34,500,664.86,0,0,-60000,3,1,0,1,105040,16160,16160,72720,1999,0,2005,8,3,6,2015,2,1,2,3447,0,1,0.7509085994052803,0.0,60000,-60000,0,0,0.1538446892165916,0.1538446892165916,0.6923011014746623,0.9999904799078455,25-35,0,25,625,1,0,1,0.5,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0
271,42,500,1515.3,0,0,0,21,3,1,0,93720,17040,8520,68160,2005,0,1990,3,1,5,2015,1,1,0,9074,0,0,0.3297500494625074,0.0,0,0,0,0,0.1818162418241376,0.0909081209120688,0.7272649672965504,0.9999893300327568,35-45,0,19,361,4,1,0,0.0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
446,57,2000,1373.21,0,42700,-64900,10,3,0,0,62800,6280,12560,43960,2012,0,1992,12,4,2,2015,2,1,5,8102,1,0,1.4553816374498802,0.0,107600,-22200,1,0,0.0999984076686677,0.1999968153373354,0.6999888536806739,0.999984076686677,55-65,0,12,144,3,0,0,0.0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
158,33,2000,1327.41,0,0,-38600,0,1,0,0,35000,3500,7000,24500,2012,0,2013,12,4,2,2015,1,1,6,396,1,1,1.5055592776326585,0.0,38600,-38600,0,0,0.09999714293877318,0.19999428587754636,0.6999800005714123,0.9999714293877318,25-35,0,12,144,1,0,0,0.0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0
362,50,500,1198.34,0,53000,-72500,17,3,1,1,57060,6340,6340,44380,1995,0,2006,1,1,6,2015,1,1,2,3293,0,0,0.4168959594443611,0.0,125500,-19500,1,0,0.11110916387725417,0.11110916387725417,0.7777641471407791,0.9999824748952875,45-55,0,29,841,4,1,1,0.25,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0
27,33,500,1442.99,0,0,0,21,1,1,1,27700,2770,2770,22160,2012,0,1997,2,1,2,2015,1,1,4,6568,0,0,0.34626278575336394,0.0,0,0,0,0,0.09999639002202086,0.09999639002202086,0.7999711201761669,0.9999639002202086,25-35,0,12,144,2,1,1,0.5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
66,30,500,1252.28,0,21100,-60800,2,3,0,2,65560,11920,11920,41720,2015,1,2003,6,2,1,2015,1,1,5,4232,1,1,0.39895314694242306,0.0,81900,-39700,1,0,0.18181540855081527,0.18181540855081527,0.6363539299278534,0.999984747029484,25-35,0,9,81,3,0,1,0.5,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
130,28,1000,1003.15,0,0,-38500,21,2,2,1,85020,13080,13080,58860,2010,0,1991,11,4,0,2015,1,1,4,8460,0,0,0.9958671513220136,0.0,38500,-38500,0,0,0.15384434433845756,0.15384434433845756,0.692299549523059,0.9999882381999742,25-35,0,14,196,4,1,1,0.3333333333333333,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
194,34,1000,1193.45,0,0,0,11,1,2,1,58800,11760,5880,41160,1997,0,2004,5,2,0,2015,1,1,5,3897,1,0,0.8372054083469379,0.0,0,0,0,0,0.19999659869730108,0.09999829934865054,0.6999880954405537,0.9999829934865053,25-35,0,27,729,3,1,1,0.5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
159,33,2000,1462.76,0,69200,-36900,23,3,2,0,44880,8160,4080,32640,2004,1,2007,7,3,4,2015,2,1,1,2776,0,1,1.3663442094332405,0.0,106100,32300,1,0,0.1818141307011876,0.0909070653505938,0.7272565228047504,0.9999777188565317,25-35,0,20,400,5,1,0,0.0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0
114,30,1000,1173.25,0,0,-34700,3,1,0,3,4680,520,520,3640,2013,0,2007,7,3,2,2015,2,1,2,2786,0,1,0.8516074089844582,0.0,34700,-34700,0,0,0.11108737449262979,0.11108737449262979,0.7776116214484085,0.999786370433668,25-35,0,11,121,1,0,1,1.5,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
396,57,1000,1366.39,0,0,-22400,22,3,2,1,52560,11680,5840,35040,1995,0,1992,10,4,6,2015,1,1,4,8146,0,1,0.7313202524517511,0.0,22400,-22400,0,0,0.22221799433039707,0.11110899716519854,0.6666539829911912,0.9999809744867868,55-65,0,29,841,5,1,1,0.25,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
456,60,1000,766.19,0,0,0,6,1,0,3,5060,460,920,3680,2007,0,1996,11,4,0,2015,2,1,3,6681,0,0,1.3034580742710409,0.0,0,0,0,0,0.09089112823552657,0.18178225647105314,0.7271290258842126,0.9998024105907923,55-65,0,17,289,1,0,1,1.5,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0
104,32,500,1158.03,0,31900,-44600,23,3,1,3,63570,9780,9780,44010,2006,1,1997,7,3,0,2015,1,1,3,6387,0,1,0.4313952184153991,0.0,76500,-12700,1,0,0.15384373377798052,0.15384373377798052,0.6922968020009124,0.9999842695568734,25-35,0,18,324,4,1,1,0.75,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0
405,57,1000,1132.47,0,46300,0,21,3,2,3,61440,10240,10240,40960,2008,0,1999,12,4,1,2015,1,1,3,5490,0,0,0.8822465526215956,0.0,46300,46300,1,0,0.16666395403720644,0.16666395403720644,0.6666558161488257,0.9999837242232386,55-65,0,16,256,5,1,1,0.75,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
289,47,2000,1102.29,0,73000,-37900,15,1,1,0,54000,6000,6000,42000,1996,0,1999,7,3,5,2015,1,1,5,5663,1,0,1.8127600177650482,0.0,110900,35100,1,0,0.11110905353604562,0.11110905353604562,0.7777633747523194,0.9999814818244107,45-55,0,28,784,2,1,0,0.0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0
259,43,500,947.75,0,0,-39300,15,1,1,3,7680,1280,640,5760,2008,0,2009,7,3,6,2015,2,1,1,2039,0,0,0.5270092226613966,0.0,39300,-39300,0,0,0.16664496810311158,0.08332248405155579,0.749902356464002,0.9998698086186695,35-45,0,16,256,2,1,1,1.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
215,38,500,1405.71,0,0,0,10,1,0,1,70700,7070,14140,49490,2008,0,2010,3,1,0,2015,2,1,6,1798,1,0,0.3554392874153166,0.0,0,0,0,0,0.09999858559284876,0.19999717118569751,0.6999900991499413,0.9999858559284875,35-45,0,16,256,1,0,1,0.5,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0
324,46,2000,897.89,0,0,-41300,13,1,1,0,79600,15920,15920,47760,2011,0,2010,3,1,5,2015,1,1,2,1782,0,0,2.224966347383996,0.0,41300,-41300,0,0,0.1999974874687504,0.1999974874687504,0.5999924624062511,0.999987437343752,45-55,0,13,169,2,1,0,0.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
163,31,1000,1004.63,0,26900,0,14,3,2,0,63910,5810,11620,46480,1999,0,2002,4,2,0,2015,1,1,2,4664,0,0,0.9944015194455217,0.0,26900,26900,1,0,0.09090766847647509,0.18181533695295019,0.7272613478118007,0.999984353241226,25-35,0,25,625,5,1,0,0.0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
59,40,2000,782.23,0,64200,-32300,0,3,0,2,51570,5730,11460,34380,2010,0,2011,9,3,2,2015,2,1,4,1227,0,1,2.5535283377807283,0.0,96500,31900,1,0,0.11110895658412674,0.22221791316825348,0.6666537395047605,0.9999806092571406,35-45,0,14,196,3,0,1,0.5,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0
255,39,500,1453.95,0,38200,0,17,3,0,3,29300,2930,5860,20510,2010,0,2001,7,3,0,2015,1,1,2,4930,0,0,0.34365442111412764,0.0,38200,38200,1,0,0.09999658714719634,0.19999317429439267,0.6999761100303744,0.9999658714719634,35-45,0,14,196,3,0,1,0.75,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
65,23,1000,1099.95,0,0,-71900,14,1,1,0,52400,6550,6550,39300,2005,1,1999,12,4,6,2015,1,1,3,5513,0,0,0.9083064626004813,0.0,71900,-71900,0,0,0.12499761454934066,0.12499761454934066,0.749985687296044,0.9999809163947253,18-25,0,19,361,2,1,0,0.0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0
70,28,1000,1319.81,0,67200,-59400,14,4,1,0,31680,3520,3520,24640,2006,0,2003,10,4,5,2015,1,1,2,4127,0,0,0.7571111666325967,0.0,126600,7800,1,0,0.11110760392664373,0.11110760392664373,0.7777532274865061,0.9999684353397935,25-35,0,18,324,5,1,0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
157,32,2000,617.11,0,0,-54100,14,3,1,2,50800,10160,5080,35560,2013,1,2009,10,4,2,2015,1,1,4,1899,0,0,3.2356700263707108,0.0,54100,-54100,0,0,0.1999960630696246,0.0999980315348123,0.6999862207436861,0.999980315348123,25-35,0,11,121,4,1,1,0.5,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0
290,47,1000,1393.34,0,0,-61400,20,3,1,3,56160,6240,12480,37440,2002,0,2008,7,3,0,2015,1,1,3,2369,0,0,0.7171851915601647,0.0,61400,-61400,0,0,0.11110913267213902,0.22221826534427805,0.6666547960328342,0.9999821940492513,45-55,0,22,484,4,1,1,0.75,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
112,30,1000,1166.54,0,47700,-59300,3,1,2,0,107900,10790,6685,75530,1997,1,2002,9,3,4,2015,1,1,2,4513,0,1,0.8565017044383919,0.0,107000,-11600,1,0,0.09999907322452989,0.0619549401766434,0.6999935125717093,0.8619475259728826,25-35,0,27,729,3,1,0,0.0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0
103,29,500,914.85,0,72100,0,5,1,2,3,7110,790,1580,4740,2005,0,1994,8,3,1,2015,2,1,3,7478,0,1,0.5459409291914614,0.0,72100,72100,1,0,0.11109548586696667,0.22219097173393335,0.6665729152018001,0.9998593728027001,25-35,0,19,361,3,1,1,1.5,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0
147,31,500,1054.92,0,51900,0,4,1,0,0,68240,8530,0,59710,2013,1,1997,2,1,0,2015,1,1,4,6549,0,1,0.4735207212667626,0.0,51900,51900,1,0,0.12499816825661993,0.0,0.8749871777963395,0.9999853460529594,25-35,0,11,121,1,0,0,0.0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
11,39,2000,1470.06,0,56600,-45800,22,1,0,1,65790,7310,7310,51170,2007,0,1993,5,2,2,2015,1,1,2,7903,0,1,1.3595638519163054,0.0,102400,10800,1,0,0.11110942226140354,0.11110942226140354,0.7777659558298248,0.9999848003526318,35-45,0,17,289,1,0,1,0.5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
